ContextFrameNum	ContextFrameName	Condition	FullSentence	TargetWord
frame7	morning	Event-Related	I'm very sluggish when I wake up. Sometimes it takes me an hour to get ready in the bathroom. I often end up staring blankly at myself in the toothbrush	toothbrush
frame7	morning	Event-Unrelated	I'm very sluggish when I wake up. Sometimes it takes me an hour to get ready in the bathroom. I often end up staring blankly at myself in the eggs	eggs
frame8	gambling	Expected	Debbie is more of a risk taker than she should be. She loves to gamble but really isn't very good at card games. Last night, she had a rough time playing poker	poker
frame8	gambling	Event-Related	Debbie is more of a risk taker than she should be. She loves to gamble but really isn't very good at card games. Last night, she had a rough time playing dealer	dealer
frame8	gambling	Event-Unrelated	Debbie is more of a risk taker than she should be. She loves to gamble but really isn't very good at card games. Last night, she had a rough time playing salesman	salesman
frame9	country life	Expected	Many people think living in the country is easy. But I grew up on a farm and I know there are some downsides. What I hated most was being woken up early each morning by the rooster	rooster
frame9	country life	Event-Related	Many people think living in the country is easy. But I grew up on a farm and I know there are some downsides. What I hated most was being woken up early each morning by the barn	barn
frame9	country life	Event-Unrelated	Many people think living in the country is easy. But I grew up on a farm and I know there are some downsides. What I hated most was being woken up early each morning by the boots	boots
frame10	exercise	Expected	My friend Julie spends all her time exercising. The machine she likes the most is the treadmill. By the time she's done, she's drenched in sweat	sweat
frame10	exercise	Event-Related	My friend Julie spends all her time exercising. The machine she likes the most is the treadmill. By the time she's done, she's drenched in towel	towel
frame10	exercise	Event-Unrelated	My friend Julie spends all her time exercising. The machine she likes the most is the treadmill. By the time she's done, she's drenched in couch	couch
frame11	movies	Expected	Going to the movies is great fun. Before the show starts, I like to get a snack. There's nothing like watching the show while eating a big box of popcorn	popcorn
frame11	movies	Event-Related	Going to the movies is great fun. Before the show starts, I like to get a snack. There's nothing like watching the show while eating a big box of soda	soda
frame11	movies	Event-Unrelated	Going to the movies is great fun. Before the show starts, I like to get a snack. There's nothing like watching the show while eating a big box of car	car
frame12	anniversary	Expected	Bob and Linda celebrated their 25th anniversary recently. Their kids wanted to do something nice for them. So they all got together and threw a big party	party
frame12	anniversary	Event-Related	Bob and Linda celebrated their 25th anniversary recently. Their kids wanted to do something nice for them. So they all got together and threw a big family	family
frame12	anniversary	Event-Unrelated	Bob and Linda celebrated their 25th anniversary recently. Their kids wanted to do something nice for them. So they all got together and threw a big coral	coral
frame13	dentist	Expected	Michelle had a toothache for several months. She knew she should do something about it, but held off. She ﬁnally got checked out when she was told she could get some anesthetic to reduce the pain	pain
frame13	dentist	Event-Related	Michelle had a toothache for several months. She knew she should do something about it, but held off. She ﬁnally got checked out when she was told she could get some anesthetic to reduce the dentist	dentist
frame13	dentist	Event-Unrelated	Michelle had a toothache for several months. She knew she should do something about it, but held off. She ﬁnally got checked out when she was told she could get some anesthetic to reduce the driver	driver
frame14	baptism	Expected	The parents were very excited about their new baby girl. One of the ﬁrst things they did was to get her baptized in their church. The baby liked baths, so she smiled when she was sprinkled with water	water
frame14	baptism	Event-Related	The parents were very excited about their new baby girl. One of the ﬁrst things they did was to get her baptized in their church. The baby liked baths, so she smiled when she was sprinkled with priest	priest
frame14	baptism	Event-Unrelated	The parents were very excited about their new baby girl. One of the ﬁrst things they did was to get her baptized in their church. The baby liked baths, so she smiled when she was sprinkled with dealer	dealer
frame15	barbecue	Expected	During the summer, many people like to cook outdoors. Everybody has different preferences for what to make. My father likes both hot dogs and hamburgers	hamburgers
frame15	barbecue	Event-Related	During the summer, many people like to cook outdoors. Everybody has different preferences for what to make. My father likes both hot dogs and grills	grills
frame15	barbecue	Event-Unrelated	During the summer, many people like to cook outdoors. Everybody has different preferences for what to make. My father likes both hot dogs and booths	booths
frame16	divorce	Expected	Getting divorced is always difﬁcult. Even when people get along, there are many details to work out. If there are children, the hardest part is the question of who gets custody	custody
frame16	divorce	Event-Related	Getting divorced is always difﬁcult. Even when people get along, there are many details to work out. If there are children, the hardest part is the question of who gets lawyer	lawyer
frame16	divorce	Event-Unrelated	Getting divorced is always difﬁcult. Even when people get along, there are many details to work out. If there are children, the hardest part is the question of who gets priest	priest
frame17	beach	Expected	The summer is a great time to go the beach. It's true you have to bring a lot of things with you, but that's OK. The only thing I don't really like is that your food gets full of sand	sand
frame17	beach	Event-Related	The summer is a great time to go the beach. It's true you have to bring a lot of things with you, but that's OK. The only thing I don't really like is that your food gets full of towel	towel
frame17	beach	Event-Unrelated	The summer is a great time to go the beach. It's true you have to bring a lot of things with you, but that's OK. The only thing I don't really like is that your food gets full of rod	rod
frame18	zoo	Expected	If you live in a city, the best way to see unusual animals is to go to the zoo. There are all kinds of exotic animals that children don't normally see. Sometimes, however, the kids are scared by the roar of the lion	lion
frame18	zoo	Event-Related	If you live in a city, the best way to see unusual animals is to go to the zoo. There are all kinds of exotic animals that children don't normally see. Sometimes, however, the kids are scared by the roar of the cages	cages
frame18	zoo	Event-Unrelated	If you live in a city, the best way to see unusual animals is to go to the zoo. There are all kinds of exotic animals that children don't normally see. Sometimes, however, the kids are scared by the roar of the dress	dress
frame19	ballgame	Expected	A favorite American pastime during the summer is going to a ballgame. Of course, people occasionally get rowdy. My sister gets really upset when people drink too many beers	beers
frame19	ballgame	Event-Related	A favorite American pastime during the summer is going to a ballgame. Of course, people occasionally get rowdy. My sister gets really upset when people drink too many hotdogs	hotdogs
frame19	ballgame	Event-Unrelated	A favorite American pastime during the summer is going to a ballgame. Of course, people occasionally get rowdy. My sister gets really upset when people drink too many cages	cages
frame20	washing the car	Expected	After a day of off-roading, my truck was covered in mud. I parked it out on the driveway to give it a wash. When I started, I realized that I had forgotten to turn on the hose	hose
frame20	washing the car	Event-Related	After a day of off-roading, my truck was covered in mud. I parked it out on the driveway to give it a wash. When I started, I realized that I had forgotten to turn on the soap	soap
frame20	washing the car	Event-Unrelated	After a day of off-roading, my truck was covered in mud. I parked it out on the driveway to give it a wash. When I started, I realized that I had forgotten to turn on the gun	gun
frame21	trial	Expected	The case of Bill the Butcher was the largest that this court had ever tried. The entire town came out to hear the opening statements. Once they were ﬁnished, the prosecution called its ﬁrst witness	witness
frame21	trial	Event-Related	The case of Bill the Butcher was the largest that this court had ever tried. The entire town came out to hear the opening statements. Once they were ﬁnished, the prosecution called its ﬁrst lawyer	lawyer
frame21	trial	Event-Unrelated	The case of Bill the Butcher was the largest that this court had ever tried. The entire town came out to hear the opening statements. Once they were ﬁnished, the prosecution called its ﬁrst receptionist	receptionist
frame22	gardening	Expected	This spring, I decided to start growing my own vegetables. I bought a variety of seeds and planted them in my backyard. I made sure to choose a spot that got plenty of sun	sun
frame22	gardening	Event-Related	This spring, I decided to start growing my own vegetables. I bought a variety of seeds and planted them in my backyard. I made sure to choose a spot that got plenty of dirt	dirt
frame22	gardening	Event-Unrelated	This spring, I decided to start growing my own vegetables. I bought a variety of seeds and planted them in my backyard. I made sure to choose a spot that got plenty of money	money
frame23	wedding	Expected	My parents were very happy when my sister ﬁnally got married. At the ceremony, my father looked so proud. My mother started crying when the couple recited their vows	vows
frame23	wedding	Event-Related	My parents were very happy when my sister ﬁnally got married. At the ceremony, my father looked so proud. My mother started crying when the couple recited their ring	ring
frame23	wedding	Event-Unrelated	My parents were very happy when my sister ﬁnally got married. At the ceremony, my father looked so proud. My mother started crying when the couple recited their dirt	dirt
frame24	bus ride	Expected	I usually take the bus to work in the morning. It was over twenty minutes late on Friday. To top it off, when it ﬁnally came I realized that I didn't have any money	money
frame24	bus ride	Event-Related	I usually take the bus to work in the morning. It was over twenty minutes late on Friday. To top it off, when it ﬁnally came I realized that I didn't have any driver	driver
frame24	bus ride	Event-Unrelated	I usually take the bus to work in the morning. It was over twenty minutes late on Friday. To top it off, when it ﬁnally came I realized that I didn't have any teacher	teacher
frame25	restaurant	Expected	The restaurant down the street is known for its lousy service. One time, I actually caught a waiter taking a bite of someone's dinner. I immediately asked to speak with the manager	manager
frame25	restaurant	Event-Related	The restaurant down the street is known for its lousy service. One time, I actually caught a waiter taking a bite of someone's dinner. I immediately asked to speak with the food	food
frame25	restaurant	Event-Unrelated	The restaurant down the street is known for its lousy service. One time, I actually caught a waiter taking a bite of someone's dinner. I immediately asked to speak with the poles	poles
frame26	playing in the snow	Expected	A huge blizzard swept through town last night. My kids ended up getting the day off from school. They spent the whole day outside building a big snowman	snowman
frame26	playing in the snow	Event-Related	A huge blizzard swept through town last night. My kids ended up getting the day off from school. They spent the whole day outside building a big jacket	jacket
frame26	playing in the snow	Event-Unrelated	A huge blizzard swept through town last night. My kids ended up getting the day off from school. They spent the whole day outside building a big towel	towel
frame27	skiing	Expected	My dad had a lot of trouble when I took him skiing for the ﬁrst time. It took him forever just to ﬁgure out how to stand up. Then he fell when he tried to get onto the lift	lift
frame27	skiing	Event-Related	My dad had a lot of trouble when I took him skiing for the ﬁrst time. It took him forever just to ﬁgure out how to stand up. Then he fell when he tried to get onto the poles	poles
frame27	skiing	Event-Unrelated	My dad had a lot of trouble when I took him skiing for the ﬁrst time. It took him forever just to ﬁgure out how to stand up. Then he fell when he tried to get onto the food	food
frame28	poker	Expected	Jackie is a very methodical poker player. During the high-stakes tournament, she was even more careful than usual. Every few hands, she made sure to count her chips	chips
frame28	poker	Event-Related	Jackie is a very methodical poker player. During the high-stakes tournament, she was even more careful than usual. Every few hands, she made sure to count her table	table
frame28	poker	Event-Unrelated	Jackie is a very methodical poker player. During the high-stakes tournament, she was even more careful than usual. Every few hands, she made sure to count her water	water
frame29	bike accident	Expected	My friend Mike went mountain biking recently. He lost control for a moment and ran right into a tree. It's a good thing he was wearing his helmet	helmet
frame29	bike accident	Event-Related	My friend Mike went mountain biking recently. He lost control for a moment and ran right into a tree. It's a good thing he was wearing his dirt	dirt
frame29	bike accident	Event-Unrelated	My friend Mike went mountain biking recently. He lost control for a moment and ran right into a tree. It's a good thing he was wearing his table	table
frame30	traffic stop	Expected	It's generally a good idea to drive slowly and obey trafﬁc laws. If you don't, you're likely to get pulled over. It's always a terrible feeling when the ofﬁcer issues you a ticket	ticket
frame30	traffic stop	Event-Related	It's generally a good idea to drive slowly and obey trafﬁc laws. If you don't, you're likely to get pulled over. It's always a terrible feeling when the ofﬁcer issues you a license	license
frame30	traffic stop	Event-Unrelated	It's generally a good idea to drive slowly and obey trafﬁc laws. If you don't, you're likely to get pulled over. It's always a terrible feeling when the ofﬁcer issues you a helmet	helmet
frame31	field trip	Expected	I used to love taking ﬁeld trips with my elementary school. We got out of class for the day, and we usually went someplace fun. I would always get excited when we were about to board the bus	bus
frame31	field trip	Event-Related	I used to love taking ﬁeld trips with my elementary school. We got out of class for the day, and we usually went someplace fun. I would always get excited when we were about to board the teacher	teacher
frame31	field trip	Event-Unrelated	I used to love taking ﬁeld trips with my elementary school. We got out of class for the day, and we usually went someplace fun. I would always get excited when we were about to board the salesman	salesman
frame32	museum	Expected	We're lucky to live in a town with such a great art museum. Last week I went to see a special exhibit. I ﬁnally got in after waiting in a long line	line
frame32	museum	Event-Related	We're lucky to live in a town with such a great art museum. Last week I went to see a special exhibit. I ﬁnally got in after waiting in a long painting	painting
frame32	museum	Event-Unrelated	We're lucky to live in a town with such a great art museum. Last week I went to see a special exhibit. I ﬁnally got in after waiting in a long toothbrush	toothbrush
frame33	camping	Expected	I took my friends to the desert for a few days of camping. After a couple hours of hiking, we found a good spot to spend the night. The weather was so nice that we didn't even pitch a tent	tent
frame33	camping	Event-Related	I took my friends to the desert for a few days of camping. After a couple hours of hiking, we found a good spot to spend the night. The weather was so nice that we didn't even pitch a fire	fire
frame33	camping	Event-Unrelated	I took my friends to the desert for a few days of camping. After a couple hours of hiking, we found a good spot to spend the night. The weather was so nice that we didn't even pitch a hammer	hammer
frame34	math test	Expected	Jenny had a really difﬁcult math exam earlier this week. She was so worried about being late that she arrived twenty minutes early. As soon as she arrived, she made sure to sharpen her pencil	pencil
frame34	math test	Event-Related	Jenny had a really difﬁcult math exam earlier this week. She was so worried about being late that she arrived twenty minutes early. As soon as she arrived, she made sure to sharpen her calculator	calculator
frame34	math test	Event-Unrelated	Jenny had a really difﬁcult math exam earlier this week. She was so worried about being late that she arrived twenty minutes early. As soon as she arrived, she made sure to sharpen her bed	bed
frame35	hockey game	Expected	My friends and I played a game of pond hockey over the weekend. It was clear from the beginning that one of my friends had never played before. The poor guy couldn't even lace up his skates	skates
frame35	hockey game	Event-Related	My friends and I played a game of pond hockey over the weekend. It was clear from the beginning that one of my friends had never played before. The poor guy couldn't even lace up his puck	puck
frame35	hockey game	Event-Unrelated	My friends and I played a game of pond hockey over the weekend. It was clear from the beginning that one of my friends had never played before. The poor guy couldn't even lace up his glass	glass
frame36	movie set	Expected	Filming for the new movie was getting underway, and the crew was ready to shoot the ﬁrst scene. One of the cameramen mentioned that she was getting some really bad glare in the shot. Somebody quickly dimmed the lights	lights
frame36	movie set	Event-Related	Filming for the new movie was getting underway, and the crew was ready to shoot the ﬁrst scene. One of the cameramen mentioned that she was getting some really bad glare in the shot. Somebody quickly dimmed the actors	actors
frame36	movie set	Event-Unrelated	Filming for the new movie was getting underway, and the crew was ready to shoot the ﬁrst scene. One of the cameramen mentioned that she was getting some really bad glare in the shot. Somebody quickly dimmed the turkeys	turkeys
frame37	bank robbery	Expected	A high proﬁle bank was robbed yesterday afternoon. The robbers entered through the back and made their way to the lobby. All the customers froze when they saw several masked men pointing guns	guns
frame37	bank robbery	Event-Related	A high proﬁle bank was robbed yesterday afternoon. The robbers entered through the back and made their way to the lobby. All the customers froze when they saw several masked men pointing money	money
frame37	bank robbery	Event-Unrelated	A high proﬁle bank was robbed yesterday afternoon. The robbers entered through the back and made their way to the lobby. All the customers froze when they saw several masked men pointing dirt	dirt
frame38	library	Expected	It's a good idea to get some reading material before going on a long trip. I tend to go to the library the day before I leave. Last time I went, I was shocked to ﬁnd out that I owed a huge fine	fine
frame38	library	Event-Related	It's a good idea to get some reading material before going on a long trip. I tend to go to the library the day before I leave. Last time I went, I was shocked to ﬁnd out that I owed a huge book	book
frame38	library	Event-Unrelated	It's a good idea to get some reading material before going on a long trip. I tend to go to the library the day before I leave. Last time I went, I was shocked to ﬁnd out that I owed a huge tire	tire
frame39	buying a car	Expected	Shopping at the used car lot can be a stressful ordeal. Even if you ﬁnd a car you like, you never know if it has any problems. Just make sure to have a good look under the hood	hood
frame39	buying a car	Event-Related	Shopping at the used car lot can be a stressful ordeal. Even if you ﬁnd a car you like, you never know if it has any problems. Just make sure to have a good look under the salesman	salesman
frame39	buying a car	Event-Unrelated	Shopping at the used car lot can be a stressful ordeal. Even if you ﬁnd a car you like, you never know if it has any problems. Just make sure to have a good look under the policeman	policeman
frame40	going to the pool	Expected	My little brother doesn't know how to swim, but we still bring him along when we go to the pool. One time, he fell into the deep end while no one was looking. He was quickly brought to safety by the lifeguard	lifeguard
frame40	going to the pool	Event-Related	My little brother doesn't know how to swim, but we still bring him along when we go to the pool. One time, he fell into the deep end while no one was looking. He was quickly brought to safety by the water	water
frame40	going to the pool	Event-Unrelated	My little brother doesn't know how to swim, but we still bring him along when we go to the pool. One time, he fell into the deep end while no one was looking. He was quickly brought to safety by the parachute	parachute
frame41	watching tv	Expected	Last Saturday I laid around watching television into the middle of the night. I eventually found myself watching an infomercial for some new cleaning product. I wanted to change the channel, but I couldn't ﬁnd the remote	remote
frame41	watching tv	Event-Related	Last Saturday I laid around watching television into the middle of the night. I eventually found myself watching an infomercial for some new cleaning product. I wanted to change the channel, but I couldn't ﬁnd the couch	couch
frame41	watching tv	Event-Unrelated	Last Saturday I laid around watching television into the middle of the night. I eventually found myself watching an infomercial for some new cleaning product. I wanted to change the channel, but I couldn't ﬁnd the brush	brush
frame42	cleaning the house	Expected	Even the laziest people clean up around the house every once in a while. The worst part is always the bathroom. When you tackle the toilet, it's good to wear some gloves	gloves
frame42	cleaning the house	Event-Related	Even the laziest people clean up around the house every once in a while. The worst part is always the bathroom. When you tackle the toilet, it's good to wear some bleach	bleach
frame42	cleaning the house	Event-Unrelated	Even the laziest people clean up around the house every once in a while. The worst part is always the bathroom. When you tackle the toilet, it's good to wear some blood	blood
frame43	on an airplane	Expected	The airlines are getting so stingy that they don't even provide free food anymore. A lot of people complain that they no longer get a complimentary meal on long ﬂights. I'd be happy just to get a bag of peanuts	peanuts
frame43	on an airplane	Event-Related	The airlines are getting so stingy that they don't even provide free food anymore. A lot of people complain that they no longer get a complimentary meal on long ﬂights. I'd be happy just to get a bag of drinks	drinks
frame43	on an airplane	Event-Unrelated	The airlines are getting so stingy that they don't even provide free food anymore. A lot of people complain that they no longer get a complimentary meal on long ﬂights. I'd be happy just to get a bag of fire	fire
frame44	setting the table	Expected	We had our entire family over to our house for Thanksgiving this year. My mother set the table as if the President were coming for dinner. She laid out a nice tablecloth and even lit a couple candles	candles
frame44	setting the table	Event-Related	We had our entire family over to our house for Thanksgiving this year. My mother set the table as if the President were coming for dinner. She laid out a nice tablecloth and even lit a couple turkeys	turkeys
frame44	setting the table	Event-Unrelated	We had our entire family over to our house for Thanksgiving this year. My mother set the table as if the President were coming for dinner. She laid out a nice tablecloth and even lit a couple runners	runners
frame45	voting	Expected	The last presidential election drew an incredible number of voters. My polling place had a line out the door when I arrived on election day. I waited three hours before I was ﬁnally able to cast my vote	vote
frame45	voting	Event-Related	The last presidential election drew an incredible number of voters. My polling place had a line out the door when I arrived on election day. I waited three hours before I was ﬁnally able to cast my booths	booths
frame45	voting	Event-Unrelated	The last presidential election drew an incredible number of voters. My polling place had a line out the door when I arrived on election day. I waited three hours before I was ﬁnally able to cast my coffins	coffins
frame46	giving a speech	Expected	My sister was only twenty when she won a Grammy for her ﬁrst album. She seemed so nervous as she gave her acceptance speech. Her voice was shaky as she spoke into the microphone	microphone
frame46	giving a speech	Event-Related	My sister was only twenty when she won a Grammy for her ﬁrst album. She seemed so nervous as she gave her acceptance speech. Her voice was shaky as she spoke into the dress	dress
frame46	giving a speech	Event-Unrelated	My sister was only twenty when she won a Grammy for her ﬁrst album. She seemed so nervous as she gave her acceptance speech. Her voice was shaky as she spoke into the painting	painting
frame47	playing football	Expected	Jeremy is a great athlete despite being prone to injury. During his last high school football game, he was knocked unconscious twice. That still didn't stop him from scoring the winning touchdown	touchdown
frame47	playing football	Event-Related	Jeremy is a great athlete despite being prone to injury. During his last high school football game, he was knocked unconscious twice. That still didn't stop him from scoring the winning helmet	helmet
frame47	playing football	Event-Unrelated	Jeremy is a great athlete despite being prone to injury. During his last high school football game, he was knocked unconscious twice. That still didn't stop him from scoring the winning license	license
frame48	surfing	Expected	Living in San Diego is great if you love to surf. The downside is that the water can be freezing during the winter. You'll be sorry if you go out without wearing your wetsuit	wetsuit
frame48	surfing	Event-Related	Living in San Diego is great if you love to surf. The downside is that the water can be freezing during the winter. You'll be sorry if you go out without wearing your surfboard	surfboard
frame48	surfing	Event-Unrelated	Living in San Diego is great if you love to surf. The downside is that the water can be freezing during the winter. You'll be sorry if you go out without wearing your grills	grills
frame49	grocery shopping	Expected	Raja likes to go to the supermarket early in the morning to avoid the crowds. He usually brings his daughter along. She always insists on riding in the cart	cart
frame49	grocery shopping	Event-Related	Raja likes to go to the supermarket early in the morning to avoid the crowds. He usually brings his daughter along. She always insists on riding in the vegetables	vegetables
frame49	grocery shopping	Event-Unrelated	Raja likes to go to the supermarket early in the morning to avoid the crowds. He usually brings his daughter along. She always insists on riding in the luggage	luggage
frame50	drinking wine	Expected	My husband and I had some nice red wine with dinner last night. He's so clumsy that he ended up spilling some all over me. At least my shirt was dark enough to partially hide the stain	stain
frame50	drinking wine	Event-Related	My husband and I had some nice red wine with dinner last night. He's so clumsy that he ended up spilling some all over me. At least my shirt was dark enough to partially hide the glass	glass
frame50	drinking wine	Event-Unrelated	My husband and I had some nice red wine with dinner last night. He's so clumsy that he ended up spilling some all over me. At least my shirt was dark enough to partially hide the car	car
frame51	driver's test	Expected	Andy was excited to get his driver's license, but he was afraid he wouldn't pass the parallel parking section of the test. He tried to remain calm as he checked his mirrors and began. Unfortunately, he ended up failing for knocking over too many cones	cones
frame51	driver's test	Event-Related	Andy was excited to get his driver's license, but he was afraid he wouldn't pass the parallel parking section of the test. He tried to remain calm as he checked his mirrors and began. Unfortunately, he ended up failing for knocking over too many instructors	instructors
frame51	driver's test	Event-Unrelated	Andy was excited to get his driver's license, but he was afraid he wouldn't pass the parallel parking section of the test. He tried to remain calm as he checked his mirrors and began. Unfortunately, he ended up failing for knocking over too many clowns	clowns
frame52	surgery	Expected	Having major surgery is never a pleasant experience. You lie in a sterile room next to an operating table full of scary tools and devices. As if the anxiety isn't enough, you usually have to deal with a cold draft up your gown	gown
frame52	surgery	Event-Related	Having major surgery is never a pleasant experience. You lie in a sterile room next to an operating table full of scary tools and devices. As if the anxiety isn't enough, you usually have to deal with a cold draft up your doctor	doctor
frame52	surgery	Event-Unrelated	Having major surgery is never a pleasant experience. You lie in a sterile room next to an operating table full of scary tools and devices. As if the anxiety isn't enough, you usually have to deal with a cold draft up your police	police
frame53	haircut	Expected	I used to love getting my hair cut when I was a kid. I got so excited every time I walked into barbershop. I would giggle with joy as I hopped into the chair	chair
frame53	haircut	Event-Related	I used to love getting my hair cut when I was a kid. I got so excited every time I walked into barbershop. I would giggle with joy as I hopped into the scissors	scissors
frame53	haircut	Event-Unrelated	I used to love getting my hair cut when I was a kid. I got so excited every time I walked into barbershop. I would giggle with joy as I hopped into the guitar	guitar
frame54	skydiving	Expected	Tanya was totally pumped to be skydiving for the ﬁrst time. When it was her turn to jump, she got a huge smile on her face. She didn't hesitate at all before leaping out of the plane	plane
frame54	skydiving	Event-Related	Tanya was totally pumped to be skydiving for the ﬁrst time. When it was her turn to jump, she got a huge smile on her face. She didn't hesitate at all before leaping out of the parachute	parachute
frame54	skydiving	Event-Unrelated	Tanya was totally pumped to be skydiving for the ﬁrst time. When it was her turn to jump, she got a huge smile on her face. She didn't hesitate at all before leaping out of the soda	soda
frame55	choosing a computer	Expected	When Maya's laptop was stolen, she went to the Apple store to buy a replacement. She wanted to make sure to get one with a fast processor. She also had tons of ﬁles to store, so she wanted a lot of memory	memory
frame55	choosing a computer	Event-Related	When Maya's laptop was stolen, she went to the Apple store to buy a replacement. She wanted to make sure to get one with a fast processor. She also had tons of ﬁles to store, so she wanted a lot of salesman	salesman
frame55	choosing a computer	Event-Unrelated	When Maya's laptop was stolen, she went to the Apple store to buy a replacement. She wanted to make sure to get one with a fast processor. She also had tons of ﬁles to store, so she wanted a lot of dentist	dentist
frame56	road trip	Expected	My friends and I took a cross-country road trip after graduating from college. We ended up getting lost somewhere in the middle of Nevada. We eventually decided to stop and ask for some directions	directions
frame56	road trip	Event-Related	My friends and I took a cross-country road trip after graduating from college. We ended up getting lost somewhere in the middle of Nevada. We eventually decided to stop and ask for some car	car
frame56	road trip	Event-Unrelated	My friends and I took a cross-country road trip after graduating from college. We ended up getting lost somewhere in the middle of Nevada. We eventually decided to stop and ask for some box	box
frame57	building a shed	Expected	I helped my neighbor build a shed recently, and we managed to run into a few problems. First, we realized that we didn't make the doorway the right size. Then we didn't have enough shingles to ﬁnish the roof	roof
frame57	building a shed	Event-Related	I helped my neighbor build a shed recently, and we managed to run into a few problems. First, we realized that we didn't make the doorway the right size. Then we didn't have enough shingles to ﬁnish the hammer	hammer
frame57	building a shed	Event-Unrelated	I helped my neighbor build a shed recently, and we managed to run into a few problems. First, we realized that we didn't make the doorway the right size. Then we didn't have enough shingles to ﬁnish the surfboard	surfboard
frame58	doctor's office	Expected	The doctor was running very late, which was not uncommon. Mary couldn't wait any longer and decided to reschedule her check-up. So she asked if she could make another appointment	appointment
frame58	doctor's office	Event-Related	The doctor was running very late, which was not uncommon. Mary couldn't wait any longer and decided to reschedule her check-up. So she asked if she could make another receptionist	receptionist
frame58	doctor's office	Event-Unrelated	The doctor was running very late, which was not uncommon. Mary couldn't wait any longer and decided to reschedule her check-up. So she asked if she could make another lawyer	lawyer
frame59	running a marathon	Expected	Marathons take a lot out of you, and it's important not to get dehydrated. Ralph had been doing OK up until mile twenty-six. As he rounded the ﬁnal bend, someone gave him some water	water
frame59	running a marathon	Event-Related	Marathons take a lot out of you, and it's important not to get dehydrated. Ralph had been doing OK up until mile twenty-six. As he rounded the ﬁnal bend, someone gave him some runners	runners
frame59	running a marathon	Event-Unrelated	Marathons take a lot out of you, and it's important not to get dehydrated. Ralph had been doing OK up until mile twenty-six. As he rounded the ﬁnal bend, someone gave him some actors	actors
frame60	fixing the car	Expected	Having serious car trouble is the worst. Aside from being unable to drive, it's hard to ﬁnd a mechanic you can trust. You never know if you're being charged a fair price	price
frame60	fixing the car	Event-Related	Having serious car trouble is the worst. Aside from being unable to drive, it's hard to ﬁnd a mechanic you can trust. You never know if you're being charged a fair tire	tire
frame60	fixing the car	Event-Unrelated	Having serious car trouble is the worst. Aside from being unable to drive, it's hard to ﬁnd a mechanic you can trust. You never know if you're being charged a fair medal	medal
